department,id,name,prerequisite,SBC,credits
ASC: Academic Success & Tutoring Center,ASC 101, Practicing Engaging Presentations,No prerequisite,,0
ACC: Accounting,ACC 210, Financial Accounting,Prerequisite: Business Major or ACC Minor or MTD or ECO or ISE Major,No fulfillments,3
ACC: Accounting,ACC 214, Managerial Cost Analysis and Applications,Prerequisite: BUS major or ACC minor or ISE Major,No fulfillments,3
ACC: Accounting,ACC 310, Intermediate Accounting I,Prerequisite(s): BUS major or ACC minor and ACC 210,No fulfillments,3
ACC: Accounting,ACC 311, Federal Income Taxation I,Prerequisite(s): BUS major or ACC minor,No fulfillments,3
ACC: Accounting,ACC 313, Intermediate Accounting II,Prerequisite: BUS major or ACC Minor and ACC 310,No fulfillments,3
ACC: Accounting,ACC 314, Federal Income Taxation II,Prerequisite: BUS Major or ACC Minor and ACC 311,No fulfillments,3
ACC: Accounting,ACC 400, External Auditing,Prerequisite(s): BUS Major or ACC minor and ACC 210,No fulfillments,3
AIM: Advancement on Individual Merit,AIM 100, EOP Pre-Freshman Summer Academic Bridge,No prerequisite,No fulfillments,3
AIM: Advancement on Individual Merit,AIM 101, EOP Pre-Freshman Summer Support Bridge,No prerequisite,No fulfillments,3
AIM: Advancement on Individual Merit,AIM 102, Expository Writing,Prerequisite: Placement by writing placement examination,No fulfillments,3
AIM: Advancement on Individual Merit,AIM 104, Literary Analysis and Critical Reasoning,Prerequisite: Placement by writing placement examination,,3
ADV: Advising,ADV 101, Advising 101,Prerequisite: New transfer student,No fulfillments,1
ADV: Advising,ADV 201, Preparing for Medical School,Prerequisites: U2 or higher standing. Completion of at least one pre-medical science sequence and permission of the instructor.,No fulfillments,1
ADV: Advising,ADV 202, Academic Success Seminar,Prerequisite: Permission of instructor,No fulfillments,2
ADV: Advising,ADV 475, Undergraduate Teaching Practicum I,Prerequisite: U3 or U4 standing; permission of ADV 101 or ADV 488 coordinator and director of the Academic & Transfer Advising Services Center; completion of ADV 101 or ADV 488 or equivalent experience,,0
ADV: Advising,ADV 476, Undergraduate Teaching Practicum II,Prerequisite: ADV 475; permission of ADV 101 or ADV 488 coordinator and director of the Academic & Transfer Advising Services Center,,0
ADV: Advising,ADV 488, Academic and Transfer Advising Services Internship,Prerequisite: Students are selected for the course based on an application which may be obtained from the advising office. Students must have earned 45 credits and a 3.0 cumulative GPA by the application date.,,3
AFH: Africana Studies/Humanities,AFH 101, The Wonders of the Black World,No prerequisite,,3
AFH: Africana Studies/Humanities,AFH 205, Contemporary African Literature,No prerequisite,,3
AFH: Africana Studies/Humanities,AFH 206, Great Books of the Black Experience,No prerequisite,,3
AFH: Africana Studies/Humanities,AFH 215, Hip Hop and the Intellectual Tradition,No prerequisite,,3
AFH: Africana Studies/Humanities,AFH 249, African-American Literature and Music in the 19th and 20th Centuries,No prerequisite,,3
